City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapa'a,22.0752,-159.319,82.38,82.0,100.0,17.27,US,1717447437.0
1,kodiak,57.79,-152.4072,45.91,87.0,100.0,6.91,US,1717447671.0
2,san patricio,28.017,-97.5169,91.35,60.0,100.0,21.34,US,1717447673.0
4,thompson,55.7435,-97.8558,59.16,55.0,75.0,8.05,CA,1717447675.0
5,bredasdorp,-34.5322,20.0403,58.21,77.0,100.0,10.51,ZA,1717447676.0
6,labytnangi,66.6572,66.4183,32.38,82.0,75.0,4.63,RU,1717447677.0
7,usoke,-5.1667,32.35,69.96,53.0,4.0,4.56,TZ,1717447678.0
8,ushuaia,-54.8,-68.3,40.66,65.0,40.0,6.91,AR,1717447501.0
9,qaqortoq,60.7167,-46.0333,41.36,83.0,94.0,1.7,GL,1717447681.0
10,albany,42.6001,-73.9662,86.58,32.0,86.0,1.01,US,1717447421.0
11,yuzhno-kurilsk,44.0306,145.8556,44.38,97.0,100.0,7.65,RU,1717447683.0
12,port-aux-francais,-49.35,70.2167,35.37,82.0,99.0,27.04,TF,1717447684.0
13,villa emilio carranza,19.9667,-96.6,95.72,50.0,16.0,20.92,MX,1717447511.0
14,revda,56.801,59.9303,56.21,98.0,100.0,5.26,RU,1717447687.0
15,vila franca do campo,37.7167,-25.4333,66.61,99.0,23.0,5.08,PT,1717447688.0
16,waitangi,-43.9535,-176.5597,47.82,75.0,85.0,7.0,NZ,1717447689.0
17,ribeira grande,38.5167,-28.7,68.4,77.0,20.0,10.36,PT,1717447690.0
18,adamstown,-25.066,-130.1015,70.27,82.0,100.0,6.08,PN,1717447691.0
19,mancio lima,-7.6142,-72.8958,86.07,62.0,75.0,4.61,BR,1717447693.0
20,port mathurin,-19.6833,63.4167,74.75,72.0,1.0,21.25,MU,1717447694.0
21,anadyr,64.75,177.4833,45.1,65.0,0.0,15.66,RU,1717447695.0
22,quibala,-10.7337,14.98,58.19,77.0,2.0,1.01,AO,1717447696.0
23,buarcos,40.166,-8.8768,66.54,78.0,0.0,1.99,PT,1717447697.0
24,mil'kovo,55.6078,37.7956,64.06,90.0,25.0,8.7,RU,1717447698.0
25,saipan,15.1355,145.701,84.9,74.0,0.0,8.05,MP,1717447700.0
26,pirae,-17.5167,-149.5333,86.02,62.0,75.0,3.44,PF,1717447701.0
27,pyhajarvi,67.0701,27.2176,59.23,87.0,100.0,4.41,FI,1717447702.0
28,sittwe,20.15,92.9,80.22,86.0,65.0,3.94,MM,1717447703.0
29,la passe,45.5549,-0.8967,66.43,81.0,12.0,7.7,FR,1717447704.0
30,puerto natales,-51.7236,-72.4875,30.65,93.0,75.0,3.44,CL,1717447501.0
31,coahuayana de hidalgo,18.7,-103.6583,90.61,38.0,50.0,7.94,MX,1717447707.0
32,la palma,33.8464,-118.0467,74.35,76.0,100.0,5.75,US,1717447708.0
33,nuuk,64.1835,-51.7216,52.41,50.0,20.0,9.22,GL,1717447709.0
34,uturoa,-16.7333,-151.4333,79.16,78.0,100.0,12.08,PF,1717447710.0
35,puerto ayora,-0.7393,-90.3518,82.36,96.0,85.0,3.0,EC,1717447712.0
36,huangnihe,43.5583,128.0239,54.45,81.0,100.0,3.38,CN,1717447713.0
37,utrik,11.2278,169.8474,82.53,81.0,96.0,23.0,MH,1717447714.0
38,chimore,-16.9833,-65.1333,79.95,62.0,48.0,1.19,BO,1717447715.0
39,lebu,-37.6167,-73.65,54.19,56.0,100.0,9.73,CL,1717447716.0
40,flin flon,54.7682,-101.865,66.04,42.0,75.0,11.5,CA,1717447634.0
41,aasiaat,68.7098,-52.8699,32.25,72.0,0.0,14.99,GL,1717447719.0
42,fort st. john,56.2499,-120.8529,48.09,93.0,100.0,8.05,CA,1717447720.0
43,tomatlan,19.9333,-105.25,90.16,37.0,0.0,11.81,MX,1717447721.0
44,hotan,37.0997,79.9269,72.1,14.0,0.0,3.98,CN,1717447722.0
45,vorkuta,67.5,64.0,20.1,98.0,100.0,1.99,RU,1717447723.0
46,hithadhoo,-0.6,73.0833,83.52,73.0,83.0,8.61,MV,1717447725.0
47,rivera,-30.9053,-55.5508,47.44,85.0,0.0,7.34,UY,1717447707.0
48,kununurra,-15.7667,128.7333,71.58,83.0,100.0,8.05,AU,1717447727.0
49,aginskoye,51.1,114.53,56.53,67.0,80.0,4.52,RU,1717447728.0
50,cill airne,52.05,-9.5167,54.95,92.0,87.0,3.29,IE,1717447729.0
51,grytviken,-54.2811,-36.5092,28.09,71.0,26.0,9.22,GS,1717447730.0
52,iqaluit,63.7506,-68.5145,33.53,86.0,100.0,18.41,CA,1717447650.0
53,avarua,-21.2078,-159.775,77.05,61.0,100.0,4.61,CK,1717447733.0
54,lensk,60.7253,114.9278,53.49,98.0,100.0,6.51,RU,1717447734.0
55,ulanhot,46.0833,122.0833,56.89,90.0,12.0,9.31,CN,1717447735.0
56,nikolayevsk-on-amure,53.1406,140.73,35.22,92.0,71.0,4.0,RU,1717447736.0
58,blackmans bay,-43.0167,147.3167,48.52,96.0,0.0,1.01,AU,1717447739.0
59,hawaiian paradise park,19.5933,-154.9731,77.04,92.0,100.0,4.61,US,1717447740.0
60,lihue,21.9789,-159.3672,81.64,77.0,100.0,17.27,US,1717447741.0
61,port douglas,-16.4833,145.4667,68.88,81.0,69.0,2.73,AU,1717447742.0
62,ilulissat,69.2167,-51.1,37.42,56.0,20.0,11.5,GL,1717447743.0
63,margaret river,-33.95,115.0667,60.8,82.0,62.0,2.73,AU,1717447745.0
64,thale,51.75,11.05,55.08,93.0,76.0,4.99,DE,1717447746.0
65,iskateley,67.6803,53.1512,38.01,78.0,100.0,4.0,RU,1717447747.0
67,torata,-17.0769,-70.8433,69.31,20.0,11.0,3.13,PE,1717447749.0
68,ust'-ilimsk,58.0006,102.6619,55.44,56.0,100.0,4.0,RU,1717447727.0
69,arno,60.1167,18.6333,56.79,92.0,100.0,7.16,SE,1717447752.0
70,nova sintra,14.8667,-24.7167,75.54,78.0,100.0,23.47,CV,1717447753.0
71,bousso,10.4795,16.7117,90.36,42.0,83.0,2.1,TD,1717447754.0
72,afaahiti,-17.75,-149.2833,84.07,79.0,100.0,12.12,PF,1717447755.0
73,somerset,40.5668,-74.5496,87.66,42.0,75.0,3.44,US,1717447264.0
74,crane,31.3974,-102.3501,101.82,5.0,68.0,17.72,US,1717447758.0
75,naze,28.3667,129.4833,70.72,72.0,2.0,10.33,JP,1717447759.0
76,springbok,-29.6643,17.8865,46.44,95.0,99.0,16.75,ZA,1717447760.0
77,bethel,41.3712,-73.414,85.91,36.0,0.0,4.61,US,1717447505.0
78,kalemie,-5.9475,29.1947,75.47,59.0,44.0,2.21,CD,1717447762.0
79,edinburgh of the seven seas,-37.0676,-12.3116,53.56,58.0,39.0,4.38,SH,1717447764.0
80,senigallia,43.7093,13.2167,66.94,76.0,12.0,3.44,IT,1717447765.0
81,isangel,-19.55,169.2667,77.11,83.0,20.0,8.05,VU,1717447766.0
82,remire-montjoly,4.9167,-52.2667,86.04,79.0,75.0,10.36,GF,1717447767.0
84,lodja,-3.4833,23.4333,70.92,95.0,14.0,2.57,CD,1717447770.0
85,okhotsk,59.3833,143.3,38.01,97.0,100.0,11.72,RU,1717447771.0
86,wulingyuan,29.3494,110.5441,58.48,97.0,100.0,3.04,CN,1717447772.0
87,at taj,24.2049,23.2857,91.33,15.0,2.0,11.65,LY,1717447773.0
88,abilene,32.4487,-99.7331,100.18,45.0,0.0,13.8,US,1717447595.0
89,kerikeri,-35.2268,173.9474,49.91,94.0,100.0,1.01,NZ,1717447775.0
90,ketchikan,55.3422,-131.6461,55.38,93.0,100.0,13.8,US,1717447777.0
91,island harbour,50.724,-1.2758,64.15,76.0,100.0,7.16,GB,1717447778.0
92,changping,40.2186,116.2197,64.04,40.0,18.0,2.46,CN,1717447779.0
93,pyay,18.8167,95.2167,77.31,89.0,81.0,3.87,MM,1717447780.0
94,doctor mora,21.1417,-100.3125,88.0,17.0,51.0,9.69,MX,1717447781.0
95,yellowknife,62.456,-114.3525,53.42,73.0,75.0,17.27,CA,1717447783.0
96,champerico,14.3,-91.9167,91.94,70.0,77.0,11.86,GT,1717447784.0
98,east london,-33.0153,27.9116,56.98,49.0,49.0,10.16,ZA,1717447786.0
99,rajpur,22.3,74.35,83.97,62.0,100.0,17.49,IN,1717447787.0
100,fukuecho,32.6881,128.8419,64.89,75.0,1.0,20.78,JP,1717447788.0
101,ust-nera,64.5667,143.2,59.74,39.0,7.0,3.78,RU,1717447789.0
102,kutum,14.2,24.6667,83.44,9.0,43.0,9.82,SD,1717447791.0
103,san rafael del sur,11.8485,-86.4384,94.17,71.0,100.0,8.52,NI,1717447792.0
104,selkirk,50.1436,-96.8845,72.07,49.0,71.0,1.99,CA,1717447793.0
105,wailua homesteads,22.0669,-159.378,81.03,82.0,100.0,17.27,US,1717447794.0
